date,heure,température 1,température 2,humidité,pression
11/09/18,23:54:00,25.0,25.0,45.0,1013.0
11/09/18,23:57:00,25.0,25.0,45.0,1013.0
11/10/18,00:03:00,25.0,25.0,45.0,1013.0
11/10/18,00:06:00,25.0,25.0,45.0,1013.0
11/10/18,00:09:00,25.0,25.0,45.0,1013.0
11/10/18,00:12:00,25.0,25.0,45.0,1013.0
11/10/18,00:15:00,25.0,25.0,45.0,1013.0
11/10/18,00:18:00,25.0,25.0,45.0,1013.0
11/10/18,00:21:00,25.0,25.0,45.0,1013.0
11/10/18,00:24:00,25.0,25.0,45.0,1013.0
11/10/18,00:27:00,25.0,25.0,45.0,1013.0
11/10/18,00:30:00,25.0,25.0,45.0,1013.0
11/10/18,00:33:00,25.0,25.0,45.0,1013.0
11/10/18,00:35:59,25.0,25.0,45.0,1013.0
11/10/18,00:39:00,25.0,25.0,45.0,1013.0
11/10/18,00:42:00,25.0,25.0,45.0,1013.0
11/10/18,00:45:00,25.0,25.0,45.0,1013.0
11/10/18,00:48:00,25.0,25.0,45.0,1013.0
11/10/18,00:50:59,25.0,25.0,45.0,1013.0
11/10/18,00:54:00,25.0,25.0,45.0,1013.0
11/10/18,00:57:00,25.0,25.0,45.0,1013.0
11/10/18,01:03:00,25.0,25.0,45.0,1013.0
11/10/18,01:06:00,25.0,25.0,45.0,1013.0
11/10/18,01:09:00,25.0,25.0,45.0,1013.0
11/10/18,01:12:00,25.0,25.0,45.0,1013.0
11/10/18,01:15:00,25.0,25.0,45.0,1013.0
11/10/18,01:18:00,25.0,25.0,45.0,1013.0
11/10/18,01:21:00,25.0,25.0,45.0,1013.0
11/10/18,01:24:00,25.0,25.0,45.0,1013.0
11/10/18,01:27:00,25.0,25.0,45.0,1013.0
11/10/18,01:30:00,25.0,25.0,45.0,1013.0
11/10/18,01:33:00,25.0,25.0,45.0,1013.0
11/10/18,01:36:00,25.0,25.0,45.0,1013.0
11/10/18,01:39:00,25.0,25.0,45.0,1013.0
11/10/18,01:42:00,25.0,25.0,45.0,1013.0
11/10/18,01:44:59,25.0,25.0,45.0,1013.0
11/10/18,01:48:00,25.0,25.0,45.0,1013.0
11/10/18,01:51:00,25.0,25.0,45.0,1013.0
11/10/18,01:54:00,25.0,25.0,45.0,1013.0
11/10/18,01:57:00,25.0,25.0,45.0,1013.0
11/10/18,02:03:00,25.0,25.0,45.0,1013.0
11/10/18,02:06:00,25.0,25.0,45.0,1013.0
11/10/18,02:09:00,25.0,25.0,45.0,1013.0
11/10/18,02:12:00,25.0,25.0,45.0,1013.0
11/10/18,02:15:00,25.0,25.0,45.0,1013.0
11/10/18,02:18:00,25.0,25.0,45.0,1013.0
11/10/18,02:21:00,25.0,25.0,45.0,1013.0
11/10/18,02:24:00,25.0,25.0,45.0,1013.0
11/10/18,02:26:59,25.0,25.0,45.0,1013.0
11/10/18,02:30:00,25.0,25.0,45.0,1013.0
11/10/18,02:33:00,25.0,25.0,45.0,1013.0
11/10/18,02:36:00,25.0,25.0,45.0,1013.0
11/10/18,02:39:00,25.0,25.0,45.0,1013.0
11/10/18,02:42:00,25.0,25.0,45.0,1013.0
11/10/18,02:45:00,25.0,25.0,45.0,1013.0
11/10/18,02:48:00,25.0,25.0,45.0,1013.0
11/10/18,02:51:00,25.0,25.0,45.0,1013.0
11/10/18,02:54:00,25.0,25.0,45.0,1013.0
11/10/18,02:57:00,25.0,25.0,45.0,1013.0
11/10/18,03:03:00,25.0,25.0,45.0,1013.0
11/10/18,03:06:00,25.0,25.0,45.0,1013.0
11/10/18,03:08:59,25.0,25.0,45.0,1013.0
11/10/18,03:12:00,25.0,25.0,45.0,1013.0
11/10/18,03:15:00,25.0,25.0,45.0,1013.0
11/10/18,03:18:00,25.0,25.0,45.0,1013.0
11/10/18,03:21:00,25.0,25.0,45.0,1013.0
11/10/18,03:24:00,25.0,25.0,45.0,1013.0
11/10/18,03:27:00,25.0,25.0,45.0,1013.0
11/10/18,03:30:00,25.0,25.0,45.0,1013.0
11/10/18,03:33:00,25.0,25.0,45.0,1013.0
11/10/18,03:36:00,25.0,25.0,45.0,1013.0
11/10/18,03:39:00,25.0,25.0,45.0,1013.0
11/10/18,03:42:00,25.0,25.0,45.0,1013.0
11/10/18,03:45:00,25.0,25.0,45.0,1013.0
11/10/18,03:48:00,25.0,25.0,45.0,1013.0
11/10/18,03:51:00,25.0,25.0,45.0,1013.0
11/10/18,03:54:00,25.0,25.0,45.0,1013.0
11/10/18,03:56:59,25.0,25.0,45.0,1013.0
11/10/18,04:03:00,25.0,25.0,45.0,1013.0
11/10/18,04:06:00,25.0,25.0,45.0,1013.0
11/10/18,04:09:00,25.0,25.0,45.0,1013.0
11/10/18,04:12:00,25.0,25.0,45.0,1013.0
11/10/18,04:15:00,25.0,25.0,45.0,1013.0
11/10/18,04:18:00,25.0,25.0,45.0,1013.0
11/10/18,04:21:00,25.0,25.0,45.0,1013.0
11/10/18,04:24:00,25.0,25.0,45.0,1013.0
11/10/18,04:27:00,25.0,25.0,45.0,1013.0
11/10/18,04:30:00,25.0,25.0,45.0,1013.0
11/10/18,04:33:00,25.0,25.0,45.0,1013.0
11/10/18,04:36:00,25.0,25.0,45.0,1013.0
11/10/18,04:39:00,25.0,25.0,45.0,1013.0
11/10/18,04:42:00,25.0,25.0,45.0,1013.0
11/10/18,04:45:00,25.0,25.0,45.0,1013.0
11/10/18,04:48:00,25.0,25.0,45.0,1013.0
11/10/18,04:51:00,25.0,25.0,45.0,1013.0
11/10/18,04:53:59,25.0,25.0,45.0,1013.0
11/10/18,04:56:59,25.0,25.0,45.0,1013.0
11/10/18,05:03:00,25.0,25.0,45.0,1013.0
11/10/18,05:06:00,25.0,25.0,45.0,1013.0
11/10/18,05:09:00,25.0,25.0,45.0,1013.0
11/10/18,05:12:00,25.0,25.0,45.0,1013.0
11/10/18,05:15:00,25.0,25.0,45.0,1013.0
11/10/18,05:18:00,25.0,25.0,45.0,1013.0
11/10/18,05:21:00,25.0,25.0,45.0,1013.0
11/10/18,05:23:59,25.0,25.0,45.0,1013.0
11/10/18,05:27:00,25.0,25.0,45.0,1013.0
11/10/18,05:30:00,25.0,25.0,45.0,1013.0
11/10/18,05:33:00,25.0,25.0,45.0,1013.0
11/10/18,05:36:00,25.0,25.0,45.0,1013.0
11/10/18,05:39:00,25.0,25.0,45.0,1013.0
11/10/18,05:41:59,25.0,25.0,45.0,1013.0
11/10/18,05:45:00,25.0,25.0,45.0,1013.0
11/10/18,05:48:00,25.0,25.0,45.0,1013.0
11/10/18,05:51:00,25.0,25.0,45.0,1013.0
11/10/18,05:54:00,25.0,25.0,45.0,1013.0
11/10/18,05:57:00,25.0,25.0,45.0,1013.0
11/10/18,06:03:00,25.0,25.0,45.0,1013.0
11/10/18,06:06:00,25.0,25.0,45.0,1013.0
11/10/18,06:09:00,25.0,25.0,45.0,1013.0
11/10/18,06:12:00,25.0,25.0,45.0,1013.0
11/10/18,06:15:00,25.0,25.0,45.0,1013.0
11/10/18,06:18:00,25.0,25.0,45.0,1013.0
11/10/18,06:21:00,25.0,25.0,45.0,1013.0
11/10/18,06:24:00,25.0,25.0,45.0,1013.0
11/10/18,06:27:00,25.0,25.0,45.0,1013.0
11/10/18,06:30:00,25.0,25.0,45.0,1013.0
11/10/18,06:33:00,25.0,25.0,45.0,1013.0
11/10/18,06:36:00,25.0,25.0,45.0,1013.0
11/10/18,06:39:00,25.0,25.0,45.0,1013.0
11/10/18,06:42:00,25.0,25.0,45.0,1013.0
11/10/18,06:45:00,25.0,25.0,45.0,1013.0
11/10/18,06:48:00,25.0,25.0,45.0,1013.0
11/10/18,06:51:00,25.0,25.0,45.0,1013.0
11/10/18,06:54:00,25.0,25.0,45.0,1013.0
11/10/18,06:57:00,25.0,25.0,45.0,1013.0
11/10/18,07:03:00,25.0,25.0,45.0,1013.0
11/10/18,07:06:00,25.0,25.0,45.0,1013.0
11/10/18,07:09:00,25.0,25.0,45.0,1013.0
11/10/18,07:12:00,25.0,25.0,45.0,1013.0
11/10/18,07:15:00,25.0,25.0,45.0,1013.0
11/10/18,07:18:00,25.0,25.0,45.0,1013.0
11/10/18,07:21:00,25.0,25.0,45.0,1013.0
11/10/18,07:24:00,25.0,25.0,45.0,1013.0
11/10/18,07:27:00,25.0,25.0,45.0,1013.0
11/10/18,07:33:00,14.8,14.8,71.3,922.1
11/10/18,07:36:00,14.8,14.8,71.3,922.1
11/10/18,07:39:00,14.8,14.8,71.3,922.1
11/10/18,07:42:00,14.8,14.8,71.3,922.1
11/10/18,07:44:59,14.8,14.8,71.3,922.1
11/10/18,07:48:00,14.8,14.8,71.3,922.1
11/10/18,07:51:00,14.8,14.8,71.3,922.1
11/10/18,07:54:00,14.8,14.8,71.3,922.1
11/10/18,07:57:00,14.8,14.8,71.3,922.1
11/10/18,08:03:00,14.8,14.8,71.3,922.1
11/10/18,08:06:00,14.8,14.8,71.3,922.1
11/10/18,08:09:00,14.8,14.8,71.3,922.1
11/10/18,08:12:00,14.8,14.8,71.3,922.1
11/10/18,08:15:00,14.8,14.8,71.3,922.1
11/10/18,08:18:00,14.8,14.8,71.3,922.1
11/10/18,08:21:00,14.8,14.8,71.3,922.1
11/10/18,08:24:00,14.8,14.8,71.3,922.1
11/10/18,08:27:00,14.8,14.8,71.3,922.1
11/10/18,08:30:00,14.8,14.8,71.3,922.1
11/10/18,08:33:00,14.8,14.8,71.3,922.1
11/10/18,08:36:00,14.8,14.8,71.3,922.1
11/10/18,08:38:59,14.8,14.8,71.3,922.1
11/10/18,08:42:00,14.8,14.8,71.3,922.1
11/10/18,08:45:00,33.5,33.5,51.6,1260.0
11/10/18,08:48:00,33.5,33.5,51.6,1260.0
11/10/18,08:51:00,33.5,33.5,51.6,1260.0
11/10/18,08:54:00,33.5,33.5,51.6,1260.0
11/10/18,08:57:00,33.5,33.5,51.6,1260.0
11/10/18,09:03:00,33.5,33.5,51.6,1260.0
11/10/18,09:06:00,33.5,33.5,51.6,1260.0
11/10/18,09:09:00,33.5,33.5,51.6,1260.0
11/10/18,09:12:00,33.5,33.5,51.6,1260.0
11/10/18,09:15:00,33.5,33.5,51.6,1260.0
11/10/18,09:18:00,33.5,33.5,51.6,1260.0
11/10/18,09:21:00,33.5,33.5,51.6,1260.0
11/10/18,09:24:00,33.5,33.5,51.6,1260.0
11/10/18,09:27:00,33.5,33.5,51.6,1260.0
11/10/18,09:29:59,33.5,33.5,51.6,1260.0
11/10/18,09:33:00,33.5,33.5,51.6,1260.0
11/10/18,09:36:00,33.5,33.5,51.6,1260.0
11/10/18,09:39:00,33.5,33.5,51.6,1260.0
11/10/18,09:42:00,33.5,33.5,51.6,1260.0
11/10/18,09:45:00,33.5,33.5,51.6,1260.0
11/10/18,09:48:00,33.5,33.5,51.6,1260.0
11/10/18,09:51:00,33.5,33.5,51.6,1260.0
11/10/18,09:54:00,33.5,33.5,51.6,1260.0
11/10/18,09:57:00,33.5,33.5,51.6,1260.0
11/10/18,10:03:00,33.5,33.5,51.6,1260.0
11/10/18,10:06:00,33.5,33.5,51.6,1260.0
11/10/18,10:09:00,33.5,33.5,51.6,1260.0
11/10/18,10:12:00,33.5,33.5,51.6,1260.0
11/10/18,10:15:00,33.5,33.5,51.6,1260.0
11/10/18,10:18:00,33.5,33.5,51.6,1260.0
11/10/18,10:21:00,33.5,33.5,51.6,1260.0
11/10/18,10:24:00,33.5,33.5,51.6,1260.0
11/10/18,10:27:00,33.5,33.5,51.6,1260.0
11/10/18,10:30:00,33.5,33.5,51.6,1260.0
11/10/18,10:32:59,33.5,33.5,51.6,1260.0
11/10/18,10:36:00,33.5,33.5,51.6,1260.0
11/10/18,10:39:00,33.5,33.5,51.6,1260.0
11/10/18,10:42:00,33.5,33.5,51.6,1260.0
11/10/18,10:44:59,33.5,33.5,51.6,1260.0
11/10/18,10:48:00,33.5,33.5,51.6,1260.0
11/10/18,10:51:00,33.5,33.5,51.6,1260.0
11/10/18,10:54:00,33.5,33.5,51.6,1260.0
11/10/18,10:57:00,33.5,33.5,51.6,1260.0
11/10/18,11:02:59,33.5,33.5,51.6,1260.0
11/10/18,11:06:00,33.5,33.5,51.6,1260.0
11/10/18,11:09:00,33.5,33.5,51.6,1260.0
11/10/18,11:12:00,33.5,33.5,51.6,1260.0
11/10/18,11:15:00,33.5,33.5,51.6,1260.0
11/10/18,11:18:00,33.5,33.5,51.6,1260.0
11/10/18,11:21:00,33.5,33.5,51.6,1260.0
11/10/18,11:24:00,33.5,33.5,51.6,1260.0
11/10/18,11:27:00,33.5,33.5,51.6,1260.0
11/10/18,11:30:00,33.5,33.5,51.6,1260.0
11/10/18,11:33:00,33.5,33.5,51.6,1260.0
11/10/18,11:36:00,33.5,33.5,51.6,1260.0
11/10/18,11:39:00,33.5,33.5,51.6,1260.0
11/10/18,11:42:00,33.5,33.5,51.6,1260.0
11/10/18,11:45:00,33.5,33.5,51.6,1260.0
11/10/18,11:48:00,33.5,33.5,51.6,1260.0
11/10/18,11:51:00,33.5,33.5,51.6,1260.0
11/10/18,11:54:00,33.5,33.5,51.6,1260.0
11/10/18,11:57:00,33.5,33.5,51.6,1260.0
11/10/18,12:03:00,33.5,33.5,51.6,1260.0
11/10/18,12:06:00,33.5,33.5,51.6,1260.0
11/10/18,12:09:00,33.5,33.5,51.6,1260.0
11/10/18,12:12:00,33.5,33.5,51.6,1260.0
11/10/18,12:15:00,33.5,33.5,51.6,1260.0
11/10/18,12:18:00,33.5,33.5,51.6,1260.0
11/10/18,12:21:00,33.5,33.5,51.6,1260.0
11/10/18,12:24:00,33.5,33.5,51.6,1260.0
11/10/18,12:27:00,33.5,33.5,51.6,1260.0
11/10/18,12:30:00,33.5,33.5,51.6,1260.0
11/10/18,12:33:00,33.5,33.5,51.6,1260.0
11/10/18,12:36:00,33.5,33.5,51.6,1260.0
11/10/18,12:38:59,33.5,33.5,51.6,1260.0
11/10/18,12:42:00,33.5,33.5,51.6,1260.0
11/10/18,12:44:59,33.5,33.5,51.6,1260.0
11/10/18,12:47:59,33.5,33.5,51.6,1260.0
11/10/18,12:51:00,33.5,33.5,51.6,1260.0
11/10/18,12:54:00,33.5,33.5,51.6,1260.0
11/10/18,12:57:00,33.5,33.5,51.6,1260.0
11/10/18,13:03:00,33.5,33.5,51.6,1260.0
11/10/18,13:06:00,33.5,33.5,51.6,1260.0
11/10/18,13:09:00,33.5,33.5,51.6,1260.0
11/10/18,13:12:00,22.8,22.8,32.2,918.6
11/10/18,13:15:00,22.8,22.8,32.2,918.6
11/10/18,13:18:00,22.8,22.8,32.2,918.6
11/10/18,13:21:00,22.8,22.8,32.2,918.6
11/10/18,13:24:00,22.8,22.8,32.2,918.6
11/10/18,13:27:00,22.8,22.8,32.2,918.6
11/10/18,13:30:00,22.8,22.8,32.2,918.6
11/10/18,13:33:00,22.8,22.8,32.2,918.6
11/10/18,13:36:00,22.8,22.8,32.2,918.6
11/10/18,13:39:00,22.8,22.8,32.2,918.6
11/10/18,13:41:59,22.8,22.8,32.2,918.6
11/10/18,13:45:00,22.8,22.8,32.2,918.6
