date,température 1,température 2,humidité,pression,température exterieure,humidité exterieure,température chambre,humidité chambre
20/12/2018 22:48:00,20.8,25,53,1000,7.6,87,20.8,53
20/12/2018 22:53:00,20.5,25,53,1000,7.6,87,20.5,53
20/12/2018 22:58:00,20.5,25,53,1000,7.6,87,20.5,53
20/12/2018 23:05:00,20.5,25,53,1000,7.7,87,20.5,53
20/12/2018 23:10:00,20.5,25,53,1000,7.7,89,20.5,53
20/12/2018 23:14:59,20.5,25,53,1000,7.7,89,20.5,53
20/12/2018 23:20:00,20.5,25,53,1000,7.8,89,20.5,53
20/12/2018 23:25:00,20.5,25,53,1000,7.9,89,20.5,53
20/12/2018 23:30:00,20.4,25,53,1000,7.9,89,20.4,53
20/12/2018 23:35:00,20.4,25,53,1000,8.0,89,20.4,53
20/12/2018 23:39:59,20.4,25,53,1000,8.1,88,20.4,53
20/12/2018 23:45:00,20.4,25,53,1000,8.1,88,20.4,53
20/12/2018 23:50:00,20.4,25,53,1000,8.1,88,20.4,53
20/12/2018 23:55:00,20.4,25,53,1000,8.1,88,20.4,53
21/12/2018 00:05:00,20.4,25,53,1000,8.2,88,20.4,53
21/12/2018 00:10:00,20.4,25,53,1000,8.3,88,20.4,53
21/12/2018 00:15:00,20.4,25,53,1000,8.2,88,20.4,53
21/12/2018 00:20:00,20.4,25,53,1000,8.2,88,20.4,53
21/12/2018 00:25:00,20.4,25,53,1000,8.1,88,20.4,53
21/12/2018 00:30:00,20.4,25,53,1000,8.1,88,20.4,53
21/12/2018 00:34:59,20.4,25,53,1000,8.2,88,20.4,53
21/12/2018 00:39:59,20.4,25,53,1000,8.2,90,20.4,53
21/12/2018 00:44:59,20.4,25,53,1000,8.2,90,20.4,53
21/12/2018 00:50:00,20.4,25,53,1000,8.3,90,20.4,53
21/12/2018 00:55:00,20.4,25,53,1000,8.3,90,20.4,53
21/12/2018 01:05:00,20.4,25,53,1000,8.3,90,20.4,53
21/12/2018 01:10:00,20.4,25,53,1000,8.4,90,20.4,53
21/12/2018 01:15:00,20.4,25,53,1000,8.5,91,20.4,53
21/12/2018 01:20:00,20.4,25,53,1000,8.5,91,20.4,53
21/12/2018 01:25:00,20.4,25,53,1000,8.4,92,20.4,53
